labels,PCA1,PCA2,PCA3
0,-0.029175383,-0.096127269,-0.007057721
0,0.028196729,0.067603648,-0.003647016
0,-0.102069134,-0.060243415,0.00352709
0,-0.084478665,0.008943167,0.003115669
0,-0.094003304,0.018603753,0.005614001
0,-0.079883546,0.029760629,0.004123586
0,-0.069941208,0.036074872,0.003121238
0,-0.089316811,-0.001692514,0.003222309
0,-0.045684573,0.069363572,0.003590579
0,0.100947399,-0.017272597,-0.012664396
0,-0.062889024,0.032825694,0.001724344
0,-0.06368631,0.032169288,0.001793888
0,-0.091720453,-0.014398895,0.002919132
0,-0.109198414,-0.057901018,0.004955839
0,0.018037605,0.161772411,0.014261989
0,-0.079346844,0.008898382,0.002246979
0,-0.085962055,0.013948109,0.003762644
0,-0.103668118,-0.04116424,0.004125723
0,-0.105426143,-0.034483657,0.004654065
0,-0.043400909,0.093322038,0.006926142
0,0.032666096,-0.029630324,-0.01203878
0,-0.064734086,-0.010620187,-0.001333088
0,-0.104203058,-0.160641721,0.008586879
0,-0.081846649,-0.048298726,6.58E-05
0,-0.068434368,-0.086080357,-0.002059596
0,-0.088086522,-0.057619165,0.000983827
0,-0.076842755,-0.041193551,-0.000654617
0,-0.08016153,-0.074560385,-0.000347663
0,0.041148613,0.068542763,-0.00414073
0,-0.103871528,-0.067706509,0.003880177
0,-0.099953516,-0.04002275,0.003450231
0,-0.087820153,-0.001269494,0.002980483
0,-0.013015339,0.07656727,0.000818375
0,-0.043233736,0.036775307,-0.000622331
1,-0.086034345,-0.040404786,0.000964728
1,-0.053730432,0.050538472,0.002338348
1,0.048295454,0.082837377,-0.002355239
1,-0.109495739,-0.057981057,0.005003208
1,0.022938369,0.111985319,0.003662554
1,-0.046163854,0.016358022,-0.002088375
1,0.017467188,0.058509537,-0.004097268
1,-0.094931293,0.033143633,0.007094633
1,-0.075269775,0.048591004,0.005369113
1,-0.11061759,-0.155087564,0.00932582
1,-0.060726586,0.066876397,0.005396677
1,-0.103757402,0.032379222,0.00872325
1,-0.075364092,0.073655057,0.008604512
1,-0.100904103,-0.005321285,0.005129972
1,-0.088083372,0.036275018,0.006193569
1,-0.104827433,0.017789643,0.007576544
1,-0.045620487,0.136816082,0.015208862
1,-0.098124659,-0.003971842,0.004699496
1,-0.10454653,-0.005202572,0.005833942
1,-0.105865068,0.007833523,0.006992317
1,-0.099091665,-0.02938364,0.003630753
1,-0.040897249,0.100518056,0.00776564
1,-0.084043146,0.032319637,0.005095951
1,-0.102088188,-0.00903192,0.005138373
1,-0.016395387,-0.154435978,-0.004934171
1,-0.090119502,-0.112481897,0.002473492
1,-0.106964863,-0.097673973,0.005004285
1,-0.033693615,0.03390409,-0.002086461
1,-0.092737567,0.154262386,0.026594626
1,-0.108278595,-0.03412551,0.005256015
1,-0.107154243,-0.035386515,0.00495572
1,-0.105177176,-0.02435682,0.004974755
1,-0.10033129,0.073344959,0.013024856
1,-0.1005353,-0.002766186,0.005211761
1,-0.007401012,0.135250762,0.010531259
2,0.023819514,-0.008133006,-0.010556295
2,0.008066689,-0.003264543,-0.009198594
2,0.02727249,0.012379603,-0.00939995
2,-0.028731892,-0.003715819,-0.005715589
2,-0.06594354,-0.020546036,-0.001651451
2,0.005220595,0.030636878,-0.006297654
2,0.120234311,0.078915851,-0.002941096
2,-0.023283288,-0.010125605,-0.006685116
2,0.11852609,0.051497951,-0.006584148
2,0.14751577,0.043771718,-0.005970629
2,0.023452857,0.039084613,-0.006723227
2,-0.040785903,-0.00350833,-0.00423077
2,0.035561798,0.010694676,-0.009941424
2,0.101977488,0.046411938,-0.007561033
2,-0.041054001,0.010608298,-0.003227803
2,-0.047439255,0.017877589,-0.00182112
2,-0.04556622,0.044310966,0.000507385
2,0.049321571,0.065101449,-0.004896353
2,-0.004377328,0.027211826,-0.005786899
2,0.14642266,-0.064613657,-0.011952105
2,0.024705617,0.042848969,-0.006391946
2,-0.006830845,0.050135667,-0.003152223
2,-0.004183957,0.060556921,-0.002146159
2,-0.003179999,0.018326343,-0.006683347
2,0.117734601,0.057794675,-0.005818874
2,0.044402316,0.033154904,-0.008379712
2,0.012949206,-0.081960798,-0.011275326
2,-0.030012867,-0.068451313,-0.00743779
2,-0.062205892,-0.064867953,-0.003205689
2,0.032671609,-0.000488139,-0.010530426
2,0.127461416,0.005380454,-0.010543256
2,0.169119194,0.003356993,-0.007958867
3,0.026460977,-0.072461553,-0.012314559
3,0.24438272,-0.023726328,-0.000240005
3,0.104912727,-0.041238715,-0.013521331
3,0.192253816,-0.037173732,-0.007730552
3,-0.014596145,-0.030830536,-0.008496971
3,-0.044338854,-0.066719554,-0.005679298
3,0.137371408,0.021983548,-0.008773874
3,0.061493101,-0.003195259,-0.011805945
3,-0.037131135,-0.03978776,-0.006277728
3,-0.030763547,-0.022306225,-0.006425215
3,0.048347773,0.033507418,-0.008497319
3,-0.110192012,-0.16157548,0.009847257
3,0.250163256,0.004647731,0.002484631
3,0.161368931,-0.001926606,-0.008807269
3,0.207686652,-0.018512707,-0.00518428
3,0.039052994,-0.02015258,-0.011981378
3,-0.048104724,-0.039121453,-0.004842223
3,0.097398013,0.012334563,-0.010903932
3,0.212369045,0.037576236,-0.000401419
3,0.198312281,0.027800095,-0.003056251
3,0.224352382,0.04073705,0.001599061
3,0.200053728,0.035942486,-0.002059831
3,-0.052360414,-0.013840514,-0.003279441
3,0.090974206,0.052262174,-0.007037242
3,0.389274321,-0.119392709,0.035333271
3,0.428307788,-0.125327343,0.049182472
3,0.390671509,-0.061198842,0.034301767
3,0.154164263,-0.083950596,-0.011406357
3,0.146602374,-0.054556666,-0.011967136
