labels,sensor1_integral_value,sensor1_max_gradient,sensor1_ mean_gradient,sensor1_variance_value,sensor1_wavelt_energy,sensor1_RSAV,sensor2_integral_value,sensor2_max_gradient,sensor2_ mean_gradient,sensor2_variance_value,sensor2_wavelt_energy,sensor2_RSAV,sensor3_integral_value,sensor3_max_gradient,sensor3_ mean_gradient,sensor3_variance_value,sensor3_wavelt_energy,sensor3_RSAV,sensor4_integral_value,sensor4_max_gradient,sensor4_ mean_gradient,sensor4_variance_value,sensor4_wavelt_energy,sensor4_RSAV,sensor5_integral_value,sensor5_max_gradient,sensor5_ mean_gradient,sensor5_variance_value,sensor5_wavelt_energy,sensor5_RSAV,sensor6_integral_value,sensor6_max_gradient,sensor6_ mean_gradient,sensor6_variance_value,sensor6_wavelt_energy,sensor6_RSAV,sensor7_integral_value,sensor7_max_gradient,sensor7_ mean_gradient,sensor7_variance_value,sensor7_wavelt_energy,sensor7_RSAV,sensor8_integral_value,sensor8_max_gradient,sensor8_ mean_gradient,sensor8_variance_value,sensor8_wavelt_energy,sensor8_RSAV
0,35.29002461,0.43534922,0,105.5081122,34.60033718,35.86666667,0,134.2621174,1.020976379,0.008993277,0,2.23425656,1.040462307,0,0,1.542779794,0.04578109,6.42E-05,0,0.172150614,0.053421315,0,0,0.263531068,2.695276852,0.001873769,0,215.2891169,7.74983415,0,0,538.1522255,13132.64138,2.047051747,0,123681.2646,12792.90379,13500,0,206863.9467,20,0.195701992,0,63.56284303,20,20,0,95.95773642
0,35.53085641,0.359047976,0,74.5340504,35.21952992,35.86666667,0,119.2577779,0.913000535,0.004343428,0,0.752504909,0.694600464,0,0,0.665615517,0.034511546,-0.000275668,0,0.095698794,0.036902007,0,0,0.13940609,1.169127762,0.000786595,0,63.11929242,2.537843578,0,0,197.1358737,13267.45506,1.381409735,0,60281.83053,13080.69756,13500,0,155738.2654,20,0.216513492,0,42.55715635,20,20,0,77.80050314
0,35.58970294,0.484170465,0,237.468715,35.37044218,35.86666667,0,310.5062127,0.957163682,0.011932528,0,4.019131909,0.817052419,0,0,2.670643184,0.032279771,0.000223375,0,0.429108804,0.034829701,0,0,0.692979226,0.911524839,0.001620193,0,1091.47005,1.882909412,0,0,3374.29448,13304.17081,2.515570884,0,626500.7556,13171.44477,13500,0,1123319.916,20,0.289490714,0,138.8511319,20,20,0,222.4376178
0,35.60167694,0.558366653,0,172.0857568,35.28010353,35.86666667,0,248.4536701,0.892119355,0.009769739,0,2.413788897,0.818391147,0,0,2.006396144,0.03060137,8.43E-05,0,0.297376104,0.036211367,0,0,0.463800467,0.818626855,0.001928469,0,561.1644568,2.356682438,0,0,1619.859807,13311.0597,3.335704451,0,328675.8126,13119.5031,13500,0,701214.1485,20,0.304755899,0,100.9606931,20,20,0,171.2077546
0,35.52834428,0.464252613,0,210.5135987,35.26397243,35.86666667,0,299.8942917,0.951439876,0.008499435,0,2.922029512,0.826155768,0,0,5.288897483,0.035093898,1.60E-05,0,0.380856103,0.037316682,0,0,0.635837471,1.217736422,0.00137309,0,1053.815867,2.476826026,0,0,4383.992892,13266.79837,2.307056847,0,498998.5595,13110.98051,13500,0,1089669.768,20,0.223693431,0,129.565415,20,20,0,232.8726034
0,34.48619877,0.440663097,0,223.8277771,34.43098596,35.86666667,0,303.4406473,1.062527518,0.006589516,0,4.020762182,0.898747546,0,0,1.998750521,0.042287076,0.000303092,0,0.408553711,0.034845545,0,0,0.657737737,7.446844813,0.001322533,0,1717.479324,6.637376045,0,0,3964.70807,12707.2006,2.084747369,0,581820.5245,12644.99511,13500,0,1098075.224,20,0.288807145,0,135.651821,20,20,0,223.5906317
0,35.3543462,0.409738541,0,160.9635292,35.15360435,35.86666667,0,239.6922495,0.997691438,0.008228714,0,2.351535075,0.764160766,0,0,1.374100077,0.040696943,0.000340995,0,0.265333503,0.035777189,0,0,0.428182261,2.238962536,0.001190692,0,461.75885,2.904078769,0,0,1329.840546,13167.93313,1.803236732,0,286572.7248,13044.78132,13500,0,646698.7183,20,0.275006976,0,93.47416217,20,20,0,163.6005538
0,35.55483261,0.500342417,0,141.8669388,35.44513492,35.86666667,0,213.37463,0.699494258,0.008523234,0,2.004096507,0.762625692,0,0,1.328970072,0.02796921,7.70E-05,0,0.222526119,0.029569734,0,0,0.354888505,0.905928525,0.001843909,0,278.251646,1.407550235,0,0,863.8958568,13280.29899,2.690183664,0,219940.9607,13213.9874,13500,0,506069.5465,20,0.280156323,0,81.06521595,20,20,0,141.7586871
0,35.61041949,0.526005176,0,186.9143467,35.46269743,35.86666667,0,263.4213479,0.88728506,0.005819004,0,2.566784673,0.73754983,0,0,1.947045874,0.029940325,0.000497665,0,0.321377468,0.030881908,0,0,0.49811917,0.781495697,0.000712449,0,677.6193588,1.339606298,0,0,2328.123234,13316.73397,2.926278687,0,388265.7991,13224.23061,13500,0,805151.4855,20,0.3190303,0,105.9867232,20,20,0,178.258535
0,35.42601914,0.443719323,0,110.7541753,35.31193824,35.86666667,0,176.1325333,0.790819301,0.012661391,0,1.750782412,0.62517106,0,0,1.283453323,0.031643715,0.000335211,0,0.157275628,0.027226266,0,0,0.263164709,1.547755037,0.002096003,0,159.6554262,1.76329684,0,0,453.5415919,13203.3165,2.137073787,0,133756.3306,13128.52158,13500,0,340319.4097,20,0.274449613,0,62.69204314,20,20,0,113.4183116
