 labels,sensor1_integral_value,sensor1_max_gradient,sensor1_ mean_gradient,sensor1_variance_value,sensor1_wavelt_energy,sensor1_RSAV,sensor2_integral_value,sensor2_max_gradient,sensor2_ mean_gradient,sensor2_variance_value,sensor2_wavelt_energy,sensor2_RSAV,sensor4_integral_value,sensor4_max_gradient,sensor4_ mean_gradient,sensor4_variance_value,sensor4_wavelt_energy,sensor4_RSAV,sensor5_integral_value,sensor5_max_gradient,sensor5_ mean_gradient,sensor5_variance_value,sensor5_wavelt_energy,sensor5_RSAV,sensor6_integral_value,sensor6_max_gradient,sensor6_ mean_gradient,sensor6_variance_value,sensor6_wavelt_energy,sensor6_RSAV,sensor7_integral_value,sensor7_max_gradient,sensor7_ mean_gradient,sensor7_variance_value,sensor7_wavelt_energy,sensor7_RSAV
0,35.29002461,1.020976379,0.04578109,2.695276852,13132.64138,20,0.43534922,0.008993277,6.42E-05,0.001873769,2.047051747,0.195701992,105.5081122,2.23425656,0.172150614,215.2891169,123681.2646,63.56284303,34.60033718,1.040462307,0.053421315,7.74983415,12792.90379,20,35.86666667,0,0,0,13500,20,134.2621174,1.542779794,0.263531068,538.1522255,206863.9467,95.95773642
0,35.53085641,0.913000535,0.034511546,1.169127762,13267.45506,20,0.359047976,0.004343428,-0.000275668,0.000786595,1.381409735,0.216513492,74.5340504,0.752504909,0.095698794,63.11929242,60281.83053,42.55715635,35.21952992,0.694600464,0.036902007,2.537843578,13080.69756,20,35.86666667,0,0,0,13500,20,119.2577779,0.665615517,0.13940609,197.1358737,155738.2654,77.80050314
0,35.58970294,0.957163682,0.032279771,0.911524839,13304.17081,20,0.484170465,0.011932528,0.000223375,0.001620193,2.515570884,0.289490714,237.468715,4.019131909,0.429108804,1091.47005,626500.7556,138.8511319,35.37044218,0.817052419,0.034829701,1.882909412,13171.44477,20,35.86666667,0,0,0,13500,20,310.5062127,2.670643184,0.692979226,3374.29448,1123319.916,222.4376178
0,35.60167694,0.892119355,0.03060137,0.818626855,13311.0597,20,0.558366653,0.009769739,8.43E-05,0.001928469,3.335704451,0.304755899,172.0857568,2.413788897,0.297376104,561.1644568,328675.8126,100.9606931,35.28010353,0.818391147,0.036211367,2.356682438,13119.5031,20,35.86666667,0,0,0,13500,20,248.4536701,2.006396144,0.463800467,1619.859807,701214.1485,171.2077546
0,35.52834428,0.951439876,0.035093898,1.217736422,13266.79837,20,0.464252613,0.008499435,1.60E-05,0.00137309,2.307056847,0.223693431,210.5135987,2.922029512,0.380856103,1053.815867,498998.5595,129.565415,35.26397243,0.826155768,0.037316682,2.476826026,13110.98051,20,35.86666667,0,0,0,13500,20,299.8942917,5.288897483,0.635837471,4383.992892,1089669.768,232.8726034
0,34.48619877,1.062527518,0.042287076,7.446844813,12707.2006,20,0.440663097,0.006589516,0.000303092,0.001322533,2.084747369,0.288807145,223.8277771,4.020762182,0.408553711,1717.479324,581820.5245,135.651821,34.43098596,0.898747546,0.034845545,6.637376045,12644.99511,20,35.86666667,0,0,0,13500,20,303.4406473,1.998750521,0.657737737,3964.70807,1098075.224,223.5906317
0,35.3543462,0.997691438,0.040696943,2.238962536,13167.93313,20,0.409738541,0.008228714,0.000340995,0.001190692,1.803236732,0.275006976,160.9635292,2.351535075,0.265333503,461.75885,286572.7248,93.47416217,35.15360435,0.764160766,0.035777189,2.904078769,13044.78132,20,35.86666667,0,0,0,13500,20,239.6922495,1.374100077,0.428182261,1329.840546,646698.7183,163.6005538
0,35.55483261,0.699494258,0.02796921,0.905928525,13280.29899,20,0.500342417,0.008523234,7.70E-05,0.001843909,2.690183664,0.280156323,141.8669388,2.004096507,0.222526119,278.251646,219940.9607,81.06521595,35.44513492,0.762625692,0.029569734,1.407550235,13213.9874,20,35.86666667,0,0,0,13500,20,213.37463,1.328970072,0.354888505,863.8958568,506069.5465,141.7586871
0,35.61041949,0.88728506,0.029940325,0.781495697,13316.73397,20,0.526005176,0.005819004,0.000497665,0.000712449,2.926278687,0.3190303,186.9143467,2.566784673,0.321377468,677.6193588,388265.7991,105.9867232,35.46269743,0.73754983,0.030881908,1.339606298,13224.23061,20,35.86666667,0,0,0,13500,20,263.4213479,1.947045874,0.49811917,2328.123234,805151.4855,178.258535
0,35.42601914,0.790819301,0.031643715,1.547755037,13203.3165,20,0.443719323,0.012661391,0.000335211,0.002096003,2.137073787,0.274449613,110.7541753,1.750782412,0.157275628,159.6554262,133756.3306,62.69204314,35.31193824,0.62517106,0.027226266,1.76329684,13128.52158,20,35.86666667,0,0,0,13500,20,176.1325333,1.283453323,0.263164709,453.5415919,340319.4097,113.4183116
